Customer ID,Customer Name,Total_Spend,Total_Orders,Total_Profit,Avg_Order_Value,Spend_Tile,Customer_Segment
RP-19390,Resi P̦lking,5153.08,12,465.25,206.12,2,High Value
LR-16915,Lena Radford,5142.89,6,535.48,321.43,2,High Value
MP-18175,Mike Pelletier,5087.92,9,226.45,267.79,2,High Value
AA-10645,Anna Andreadi,5086.94,6,857.8,282.61,2,High Value
IL-15100,Ivan Liston,5040.74,7,1121.94,360.05,2,High Value
KL-16555,Kelly Lampkin,5016.49,8,-182.78,228.02,2,High Value
LB-16795,Laurel Beltran,4985.68,8,-52.19,207.74,2,High Value
DH-13075,Dave Hallsten,4932.87,6,1193.74,214.47,2,High Value
IM-15070,Irene Maddox,4930.47,7,514.65,234.78,2,High Value
TT-21070,Ted Trevino,4915.6,7,751.96,351.11,2,High Value
KM-16720,Kunst Miller,4909.47,8,745.77,175.34,2,High Value
PO-19180,Philisse Overcash,4893.04,9,1155.43,271.84,2,High Value
HK-14890,Heather Kirkland,4877.78,8,956.95,325.19,2,High Value
AJ-10780,Anthony Jacobs,4867.34,7,150.71,324.49,2,High Value
JK-15730,Joe Kamberova,4867.2,10,55.05,243.36,2,High Value
AH-10210,Alan Hwang,4805.34,9,1308.55,369.64,2,High Value
DK-13225,Dean Katz,4802.39,9,209.9,252.76,2,High Value
RA-19915,Russell Applegate,4793.54,9,304.87,217.89,2,High Value
SA-20830,Sue Ann Reed,4767.34,10,610.15,227.02,2,High Value
JK-15640,Jim Kriz,4760.43,9,1172.53,396.7,2,High Value
BW-11110,Bart Watters,4750.36,8,921.26,279.43,2,High Value
TB-21520,Tracy Blumstein,4737.49,9,-1603.05,236.87,2,High Value
GB-14575,Giulietta Baptist,4716.29,5,1135.84,294.77,2,High Value
RB-19465,Rick Bensley,4715.47,12,640.55,205.02,2,High Value
ES-14080,Erin Smith,4657.92,9,246.67,232.9,2,High Value
DB-13270,Deborah Brumfield,4655.9,8,841.83,358.15,2,High Value
KT-16480,Kean Thornton,4642.09,10,194.07,357.08,2,High Value
SC-20050,Sample Company A,4624.57,9,1011.74,308.3,2,High Value
EM-14140,Eugene Moren,4588.44,6,1319.37,218.5,2,High Value
DB-13060,Dave Brooks,4531.65,7,473.03,348.59,2,High Value
AR-10825,Anthony Rawles,4523.34,8,494.84,347.95,2,High Value
AG-10900,Arthur Gainer,4510.8,10,343.68,214.8,2,High Value
AJ-10795,Anthony Johnson,4501.39,7,1158.71,214.35,2,High Value
LC-16930,Linda Cazamias,4492.95,8,288.27,320.92,2,High Value
SC-20770,Stewart Carmichael,4492.66,7,-671.19,213.94,2,High Value
TP-21130,Theone Pippenger,4454.06,9,1129.13,278.38,2,High Value
MC-17425,Mark Cousins,4432.14,5,1802.39,443.21,2,High Value
JK-15205,Jamie Kunitz,4427.14,5,1219.98,340.55,2,High Value
KW-16435,Katrina Willman,4416.52,5,1756.14,441.65,2,High Value
BD-11500,Bradley Drucker,4411.24,6,1142.12,441.12,2,High Value
AI-10855,Arianne Irving,4375.79,10,867.73,243.1,2,High Value
SC-20230,Scot Coram,4371.96,4,440.14,397.45,2,High Value
EB-13840,Ellis Ballard,4358.13,5,656.2,544.77,2,High Value
GZ-14470,Gary Zandusky,4355.15,9,1087.75,311.08,2,High Value
SR-20740,Steven Roelle,4345.89,8,1990.42,362.16,2,High Value
ND-18370,Natalie DeCherney,4326.14,9,353.65,240.34,2,High Value
MA-17560,Matt Abelman,4299.16,11,1240.23,126.45,2,High Value
SP-20860,Sung Pak,4282.94,10,566.72,178.46,2,High Value
DK-12895,Dana Kaydos,4282.18,5,937.65,285.48,2,High Value
RD-19480,Rick Duston,4272.93,8,480.59,284.86,3,Mid Value
TC-21295,Toby Carlisle,4266.81,8,606.37,266.68,3,Mid Value
AS-10225,Alan Schoenberger,4260.78,5,719.78,327.75,3,Mid Value
FH-14275,Frank Hawley,4256.27,10,1073.27,202.68,3,Mid Value
CB-12535,Claudia Bergmann,4246.46,8,1049.56,223.5,3,Mid Value
TH-21550,Tracy Hopkins,4234.1,7,-571.97,325.7,3,Mid Value
BE-11335,Bill Eplett,4204.68,5,1487.77,467.19,3,Mid Value
JF-15565,Jill Fjeld,4198.33,8,1073.21,262.4,3,Mid Value
GH-14425,Gary Hwang,4172.85,4,1176.42,417.28,3,Mid Value
RS-19765,Roland Schwarz,4159.77,8,1206.39,297.13,3,Mid Value
MY-18295,Muhammed Yedwab,4152.7,11,-371.71,197.75,3,Mid Value
PM-19135,Peter McVee,4115.66,4,526.75,587.95,3,Mid Value
SV-20785,Stewart Visinsky,4105.31,9,485.03,164.21,3,Mid Value
DM-13345,Denise Monton,4074.47,8,1319.06,313.42,3,Mid Value
FP-14320,Frank Preis,4046.75,8,406.45,289.05,3,Mid Value
SP-20920,Susan Pistek,3990.69,6,14.69,285.05,3,Mid Value
CM-12715,Craig Molinari,3984.45,4,176.31,306.5,3,Mid Value
MP-17965,Michael Paige,3983.64,9,638.16,199.18,3,Mid Value
SC-20305,Sean Christensen,3979.07,7,229.16,331.59,3,Mid Value
SJ-20125,Sanjit Jacobs,3949.66,12,144.12,164.57,3,Mid Value
LF-17185,Luke Foster,3930.51,7,-3583.98,245.66,3,Mid Value
PW-19240,Pierre Wener,3922.42,7,1290.35,326.87,3,Mid Value
GA-14515,George Ashbrook,3919.78,8,840.9,279.98,3,Mid Value
KH-16630,Ken Heidel,3918.97,9,727.38,230.53,3,Mid Value
CC-12220,Chris Cortes,3913.42,12,393.96,177.88,3,Mid Value
DB-13555,Dorothy Badders,3908.8,7,109.33,279.2,3,Mid Value
NP-18670,Nora Paige,3908.4,5,514.6,390.84,3,Mid Value
KC-16540,Kelly Collister,3908.26,4,709.42,781.65,3,Mid Value
FC-14335,Fred Chung,3889.37,7,714.29,388.94,3,Mid Value
BS-11380,Bill Stewart,3887.83,5,-17.53,299.06,3,Mid Value
JS-15880,John Stevenson,3868.02,5,564.98,429.78,3,Mid Value
RA-19885,Ruben Ausman,3832.31,7,1292.87,255.49,3,Mid Value
AT-10735,Annie Thurman,3831.86,10,974.11,239.49,3,Mid Value
OT-18730,Olvera Toch,3818.62,5,-925.12,381.86,3,Mid Value
RO-19780,Rose O'Brian,3815.48,7,-1262.57,317.96,3,Mid Value
MC-17845,Michael Chen,3805.71,7,698.42,271.84,3,Mid Value
MM-17920,Michael Moore,3794.08,11,82.13,237.13,3,Mid Value
CA-11965,Carol Adams,3789.72,6,1143.38,378.97,3,Mid Value
MG-17650,Matthew Grinstein,3785.28,7,341.9,270.38,3,Mid Value
MD-17350,Maribeth Dona,3766.38,7,-241.95,221.55,3,Mid Value
JK-15625,Jim Karlsson,3760.03,7,750.95,313.34,3,Mid Value
JK-16090,Juliana Krohn,3747.67,3,586.66,416.41,3,Mid Value
FM-14290,Frank Merwin,3736.2,9,198.11,186.81,3,Mid Value
SC-20260,Scott Cohen,3729.79,8,671.0,207.21,3,Mid Value
HG-15025,Hunter Glantz,3690.28,7,804.61,335.48,3,Mid Value
BP-11185,Ben Peterman,3675.86,9,363.6,204.21,3,Mid Value
LP-17095,Liz Preis,3653.4,7,338.45,243.56,3,Mid Value
CS-12400,Christopher Schild,3651.86,9,-342.8,260.85,3,Mid Value
EB-13705,Ed Braxton,3644.98,9,13.62,303.75,3,Mid Value
JP-15520,Jeremy Pistek,3635.59,7,757.18,227.22,3,Mid Value
SZ-20035,Sam Zeldin,3625.33,11,366.43,181.27,3,Mid Value
RH-19495,Rick Hansen,3621.38,5,563.79,452.67,3,Mid Value
TB-21175,Thomas Boland,3589.3,4,829.16,326.3,3,Mid Value
GM-14440,Gary McGarr,3582.82,7,347.27,325.71,3,Mid Value
DL-13495,Dionis Lloyd,3539.32,8,-52.79,294.94,3,Mid Value
ES-14020,Erica Smith,3510.46,5,1003.29,438.81,3,Mid Value
RW-19690,Robert Waldorf,3495.65,5,707.55,233.04,3,Mid Value
AG-10675,Anna Gayman,3489.04,7,-246.43,232.6,3,Mid Value
ED-13885,Emily Ducich,3484.92,8,670.44,248.92,3,Mid Value
PW-19030,Pauline Webber,3454.92,10,803.82,265.76,3,Mid Value
SF-20200,Sarah Foster,3422.79,9,286.9,228.19,3,Mid Value
FC-14245,Frank Carlisle,3418.74,7,1217.17,244.2,3,Mid Value
SH-19975,Sally Hughsby,3406.84,13,558.47,117.48,3,Mid Value
SG-20080,Sandra Glassco,3406.58,3,570.44,309.69,3,Mid Value
TS-21655,Trudy Schmidt,3368.09,5,220.92,240.58,3,Mid Value
SC-20020,Sam Craven,3362.96,5,-317.05,197.82,3,Mid Value
VP-21760,Victoria Pisteka,3360.53,7,-1018.78,240.04,3,Mid Value
DJ-13630,Doug Jacobs,3356.4,3,731.56,419.55,3,Mid Value
DV-13465,Dianna Vittorini,3341.59,6,353.21,222.77,3,Mid Value
SF-20965,Sylvia Foulston,3336.54,9,539.94,196.27,3,Mid Value
DC-12850,Dan Campbell,3336.17,9,-1441.63,185.34,3,Mid Value
AP-10915,Arthur Prichep,3323.56,10,579.31,107.21,3,Mid Value
DK-13375,Dennis Kane,3318.49,8,377.08,144.28,3,Mid Value
KH-16330,Katharine Harms,3312.86,8,454.79,184.05,3,Mid Value
RF-19345,Randy Ferguson,3309.15,8,633.71,206.82,3,Mid Value
RR-19525,Rick Reed,3302.26,6,721.68,330.23,3,Mid Value
BD-11605,Brian Dahlen,3288.47,7,634.85,164.42,3,Mid Value
BS-11665,Brian Stugart,3288.11,3,238.74,298.92,3,Mid Value
RW-19630,Rob Williams,3279.75,9,698.83,204.98,3,Mid Value
DL-12925,Daniel Lacy,3272.2,6,4.21,233.73,3,Mid Value
DK-12835,Damala Kotsonis,3256.48,12,881.12,120.61,4,Regular
AS-10090,Adam Shillingsburg,3255.31,9,64.54,130.21,4,Regular
JO-15145,Jack O'Briant,3254.95,9,581.4,250.38,4,Regular
AH-10075,Adam Hart,3250.34,10,281.19,162.52,4,Regular
HG-14965,Henry Goldwyn,3247.64,12,-2797.96,191.04,4,Regular
LC-16960,Lindsay Castell,3246.63,4,299.48,463.8,4,Regular
CT-11995,Carol Triggs,3241.9,8,161.23,180.11,4,Regular
EB-13750,Edward Becker,3236.31,10,-80.29,161.82,4,Regular
SR-20425,Sharelle Roach,3233.48,5,-3333.91,359.28,4,Regular
LW-16990,Lindsay Williams,3230.31,6,662.83,293.66,4,Regular
RS-19420,Ricardo Sperren,3221.29,5,633.45,357.92,4,Regular
AS-10285,Alejandro Savely,3214.24,6,354.63,401.78,4,Regular
MP-17470,Mark Packer,3206.13,7,600.29,229.01,4,Regular
CS-12355,Christine Sundaresam,3202.16,11,831.94,145.55,4,Regular
BT-11680,Brian Thompson,3196.75,7,447.75,159.84,4,Regular
DG-13300,Deirdre Greer,3195.82,5,562.78,399.48,4,Regular
JL-15505,Jeremy Lonsdale,3173.87,6,591.72,186.7,4,Regular
GM-14680,Greg Matthias,3163.63,6,35.49,287.6,4,Regular
JM-15250,Janet Martin,3159.12,6,19.82,166.27,4,Regular
CK-12205,Chloris Kastensmidt,3154.86,13,141.28,98.59,4,Regular
KB-16240,Karen Bern,3152.62,7,763.91,315.26,4,Regular
MS-17770,Maxwell Schwartz,3144.68,9,280.86,165.51,4,Regular
RD-19900,Ruben Dartt,3133.92,9,455.53,149.23,4,Regular
TN-21040,Tanja Norvell,3130.22,7,-692.05,260.85,4,Regular
SN-20710,Steve Nguyen,3127.96,7,481.75,164.63,4,Regular
SG-20605,Speros Goranitis,3124.83,6,463.27,240.37,4,Regular
KH-16360,Katherine Hughes,3100.61,6,528.21,221.47,4,Regular
PG-18820,Patrick Gardner,3086.91,13,137.46,118.73,4,Regular
EH-14125,Eugene Hildebrand,3082.65,10,96.27,171.26,4,Regular
GM-14455,Gary Mitchum,3078.62,6,793.28,256.55,4,Regular
EB-14110,Eugene Barchas,3071.13,6,184.77,279.19,4,Regular
MG-18145,Mike Gockenbach,3061.54,4,-93.6,382.69,4,Regular
TG-21310,Toby Gnade,3058.37,5,682.17,339.82,4,Regular
KT-16465,Kean Takahito,3057.1,7,254.0,218.36,4,Regular
SS-20410,Shahid Shariari,3056.81,6,-1010.97,254.73,4,Regular
SL-20155,Sara Luxemburg,3053.01,7,527.97,339.22,4,Regular
AS-10045,Aaron Smayling,3050.69,7,-253.57,305.07,4,Regular
CA-12775,Cynthia Arntzen,3041.57,7,204.49,178.92,4,Regular
CS-11950,Carlos Soltero,3036.55,11,-126.42,138.02,4,Regular
LS-16975,Lindsay Shagiari,2988.67,9,262.64,135.85,4,Regular
MH-18025,Michelle Huthwaite,2984.95,5,476.9,298.49,4,Regular
FA-14230,Frank Atkinson,2984.05,7,520.52,175.53,4,Regular
DB-13120,David Bremer,2973.09,7,-1421.77,212.36,4,Regular
NS-18640,Noel Staavos,2964.82,13,-234.77,114.03,4,Regular
TM-21010,Tamara Manning,2955.23,8,573.3,155.54,4,Regular
CK-12325,Christine Kargatis,2945.32,5,261.22,245.44,4,Regular
TH-21115,Thea Hudgings,2942.77,4,-252.55,326.97,4,Regular
LT-17110,Liz Thompson,2936.25,8,320.97,209.73,4,Regular
BC-11125,Becky Castell,2933.68,9,251.6,162.98,4,Regular
JK-16120,Julie Kriz,2932.48,10,122.66,172.5,4,Regular
SW-20455,Shaun Weien,2921.54,7,793.65,324.62,4,Regular
ML-17410,Maris LaWare,2921.5,6,-76.18,194.77,4,Regular
RD-19585,Rob Dowd,2912.89,10,734.52,153.31,4,Regular
CY-12745,Craig Yedwab,2900.03,8,60.65,263.64,4,Regular
ND-18460,Neil Ducich,2893.46,6,443.34,361.68,4,Regular
MT-17815,Meg Tillman,2890.14,6,509.01,289.01,4,Regular
BF-11020,Barry Franz̦sisch,2888.51,8,302.02,137.55,4,Regular
DS-13180,David Smith,2881.81,9,163.7,144.09,4,Regular
PV-18985,Paul Van Hugh,2876.05,5,434.53,221.23,4,Regular
IM-15055,Ionia McGrath,2872.63,3,975.77,718.16,4,Regular
CC-12430,Chuck Clark,2870.05,10,424.66,151.06,4,Regular
CC-12685,Craig Carroll,2854.12,4,850.16,237.84,4,Regular
AW-10930,Arthur Wiediger,2852.97,7,-104.55,178.31,4,Regular
EA-14035,Erin Ashbrook,2846.71,13,-52.74,113.87,4,Regular
LS-16945,Linda Southworth,2845.27,6,-318.77,203.23,4,Regular
DB-12970,Darren Budd,2839.23,5,213.0,202.8,4,Regular
JM-16195,Justin MacKendrick,2833.93,10,754.11,149.15,4,Regular
CV-12295,Christina VanderZanden,2830.63,5,493.09,217.74,4,Regular
TS-21610,Troy Staebel,2820.42,7,-294.7,256.4,4,Regular
GH-14410,Gary Hansen,2819.47,9,-576.83,165.85,4,Regular
BG-11035,Barry Gonzalez,2798.95,8,-711.43,233.25,4,Regular
TB-21625,Trudy Brown,2797.67,9,379.88,186.51,4,Regular
RD-19660,Robert Dilbeck,2786.63,5,835.77,557.33,4,Regular
JC-15775,John Castell,2772.06,9,279.57,173.25,4,Regular
PF-19165,Philip Fox,2770.0,6,196.87,277.0,4,Regular
EB-13870,Emily Burns,2767.22,10,261.53,251.57,4,Regular
CS-12250,Chris Selesnick,2754.22,12,738.36,98.36,4,Regular
MM-18055,Michelle Moray,2749.88,8,-520.34,144.73,4,Regular
KB-16585,Ken Black,2744.74,12,579.36,119.34,4,Regular
LL-16840,Lauren Leatherbury,2741.2,6,560.01,228.43,5,Regular
MC-17275,Marc Crier,2725.98,8,461.0,209.69,5,Regular
JL-15850,John Lucas,2725.26,6,779.9,247.75,5,Regular
ML-17395,Marina Lichtenstein,2722.84,9,684.92,136.14,5,Regular
JK-15370,Jay Kimmel,2709.63,8,330.28,159.39,5,Regular
JE-16165,Justin Ellison,2697.25,3,789.65,385.32,5,Regular
BT-11530,Bradley Talbott,2684.49,5,409.5,268.45,5,Regular
BO-11350,Bill Overfelt,2682.73,5,278.78,223.56,5,Regular
FO-14305,Frank Olsen,2678.44,10,215.6,178.56,5,Regular
NH-18610,Nicole Hansen,2673.29,7,760.17,243.03,5,Regular
RB-19435,Richard Bierner,2663.09,8,477.24,166.44,5,Regular
EJ-14155,Eva Jacobs,2656.69,5,451.88,332.09,5,Regular
DK-13090,Dave Kipp,2650.56,7,536.39,203.89,5,Regular
CA-12265,Christina Anderson,2648.29,9,279.62,155.78,5,Regular
LC-17140,Logan Currie,2633.58,9,231.13,138.61,5,Regular
RA-19285,Ralph Arnett,2617.91,9,546.09,153.99,5,Regular
KN-16390,Katherine Nockton,2617.27,9,-151.15,153.96,5,Regular
SO-20335,Sean O'Donnell,2602.58,6,-81.09,173.51,5,Regular
SU-20665,Stephanie Ulpright,2595.36,7,763.47,144.19,5,Regular
HA-14920,Helen Andreada,2584.16,8,99.14,143.56,5,Regular
AG-10270,Alejandro Grove,2582.9,5,732.74,184.49,5,Regular
LC-16870,Lena Cacioppo,2580.7,8,-188.25,86.02,5,Regular
SC-20695,Steve Chapman,2576.41,10,611.83,184.03,5,Regular
NS-18505,Neola Schneider,2575.86,4,-12.3,171.72,5,Regular
BT-11305,Beth Thompson,2567.66,5,417.59,285.3,5,Regular
EM-13810,Eleni McCrary,2567.01,5,-133.83,366.72,5,Regular
MZ-17515,Mary Zewe,2564.91,6,787.75,256.49,5,Regular
BS-11755,Bruce Stewart,2562.38,7,-113.3,183.03,5,Regular
DE-13255,Deanra Eno,2550.87,5,464.47,283.43,5,Regular
CC-12610,Corey Catlett,2540.63,7,331.43,211.72,5,Regular
AC-10615,Ann Chong,2537.69,5,298.83,140.98,5,Regular
CM-12160,Charles McCrossin,2533.31,6,-394.37,361.9,5,Regular
HF-14995,Herbert Flentye,2533.16,7,-13.88,133.32,5,Regular
FM-14380,Fred McMath,2523.27,9,191.49,180.23,5,Regular
JB-16045,Julia Barnett,2518.12,5,201.52,279.79,5,Regular
JS-16030,Joy Smith,2516.49,6,-311.26,139.81,5,Regular
DJ-13510,Don Jones,2501.69,8,345.25,192.44,5,Regular
AH-10465,Amy Hunt,2495.39,5,-196.12,311.92,5,Regular
PO-18865,Patrick O'Donnell,2493.21,7,437.85,191.79,5,Regular
NZ-18565,Nick Zandusky,2488.31,9,402.42,124.42,5,Regular
MN-17935,Michael Nguyen,2477.95,6,290.82,247.79,5,Regular
BP-11290,Beth Paige,2475.16,7,-319.06,154.7,5,Regular
CC-12145,Charles Crestani,2471.65,7,392.28,224.7,5,Regular
NC-18340,Nat Carroll,2461.4,5,580.31,144.79,5,Regular
FM-14215,Filia McAdams,2456.64,10,249.68,163.78,5,Regular
MH-17455,Mark Hamilton,2456.18,8,484.77,223.29,5,Regular
BS-11590,Brendan Sweed,2454.93,6,381.78,245.49,5,Regular
VM-21685,Valerie Mitchum,2454.87,7,513.53,204.57,5,Regular
GZ-14545,George Zrebassa,2454.62,4,828.66,490.92,5,Regular
MA-17995,Michelle Arnett,2453.28,6,280.78,204.44,5,Regular
BP-11095,Bart Pistole,2442.04,12,433.98,122.1,5,Regular
MC-17590,Matt Collister,2426.07,6,288.98,142.71,5,Regular
TH-21100,Thea Hendricks,2422.82,5,-135.21,346.12,5,Regular
MH-17290,Marc Harrigan,2394.03,6,28.76,184.16,5,Regular
